Producent, Model, Typ samochodu
Mazda, 2, Sedan
Peugeot, 206, Sedan
BMW, 3er, Sedan
Peugeot, 508, Sedan
Peugeot, 607, Sedan
Audi, A5, Sedan
Honda, Accord, Sedan
Nissan, Almera, Sedan
Chevrolet, Aveo, Sedan
Cadillac, BLS, Limousine
Volvo, C70, Sedan
Citroen, C8, Sedan
VW, Caravelle, Van
Kia, Carnival, Van
Mercedes-Benz, C-Class, Sedan
Kia, Cerato, Sedan
Jeep, Cherokee, SUV
Mercedes-Benz, Citan, Sedan
Opel, Corsa, Sedan
Cadillac, CTS, Limousine
Daihatsu, Cuore, Sedan
Lancia, Delta, Sedan
Lincoln, Diplomat Stretch, Stretch limousine
Hyundai, Equus, Sedan
Land Rover, Evoque, SUV
Seat, Exeo, Sedan
Ford, F-550, Mini-Bus
Renault, Fluence, Sedan
Ford, Fusion, Sedan
VW, Golf Plus, Sedan
Chevrolet, Impala, Sedan
Subaru, Impreza, Sedan
Hyundai, ix55, SUV
Suzuki, Jimny, SUV
Skoda, Kodiaq, Sedan
Renault, Laguna, Sedan
Toyota, Land Cruiser, SUV
Mercedes-Benz, M-Class, SUV
Mini, Mini, Sedan
Vauxhall, Mokka, SUV
Nissan, NV200, Van
Mitsubishi, Outlander, SUV
Fiat, Panda, Sedan
Kia, Picanto, Sedan
Toyota, Previa, Sedan
Chrysler, PT Cruiser, Sedan
Fiat, Punto, Sedan
Hyundai, Santa Fe, SUV
Cadillac, SRX, SUV
VW, Touareg, SUV
Mercedes-Benz, Tourino, Van
Renault, Twingo, Sedan
Mahindra, Verito, Sedan
Volvo, XC70, Sedan
GMC, Yukon Denali, SUV
GMC, Yukon LTZ, SUV


